AGV Type,AGV Number,Task arrive time,FGM Task begin time,FGM Task Finish time,CGM1 Task beign time,CGM1 Task finish time,CGM2 Task beign time,CGM2 Task finish time,CGM3 Task beign time,CGM3 Task finish time
I,1,0:00:00,0:00:00,0:02:12,0:00:00,0:02:17,0:00:00,0:02:44,0:00:00,0:03:02
I,1,0:00:00,0:02:12,0:04:13,0:02:17,0:04:13,0:02:44,0:04:46,0:03:02,0:05:26
I,1,0:00:00,0:04:13,0:06:31,0:04:13,0:06:17,0:04:46,0:06:56,0:05:26,0:07:55
I,1,0:00:00,0:06:31,0:09:05,0:06:17,0:08:35,0:06:56,0:09:14,0:07:55,0:10:34
I,1,0:00:00,0:09:05,0:11:14,0:08:35,0:10:48,0:09:14,0:11:23,0:10:34,0:13:03
I,1,0:00:00,0:11:14,0:12:53,0:10:48,0:12:27,0:11:23,0:13:43,0:13:03,0:15:32
I,1,0:00:00,0:12:53,0:14:33,0:12:27,0:14:06,0:13:43,0:15:53,0:15:32,0:18:09
I,1,0:00:00,0:14:33,0:17:03,0:14:06,0:16:29,0:15:53,0:18:52,0:18:09,0:21:28
I,1,0:00:00,0:17:03,0:22:42,0:16:29,0:21:55,0:18:52,0:22:21,0:21:28,0:25:28
I,1,0:00:00,0:22:42,0:28:01,0:21:55,0:27:15,0:22:21,0:25:43,0:25:28,0:29:08
I,1,0:46:52,0:46:52,0:49:40,0:46:52,0:49:40,0:46:52,0:50:05,0:46:52,0:50:28
I,1,0:46:52,0:49:40,0:52:48,0:49:40,0:52:48,0:50:05,0:54:37,0:50:28,0:54:42
I,1,1:34:23,1:34:23,1:39:39,1:34:23,1:39:49,1:34:23,1:40:02,1:34:23,1:39:49
I,1,1:34:23,1:39:39,1:44:54,1:39:49,1:44:54,1:40:02,1:45:00,1:39:49,1:44:34
I,1,1:37:38,1:44:54,1:48:03,1:44:54,1:48:19,1:45:00,1:48:25,1:44:34,1:48:15
I,1,1:37:38,1:48:03,1:51:12,1:48:19,1:52:19,1:48:25,1:54:05,1:48:15,1:52:33
I,1,1:52:28,1:52:28,1:55:37,1:52:28,1:55:34,1:54:05,1:57:21,1:52:33,1:56:05
I,1,1:52:28,1:55:37,2:01:23,1:55:34,2:01:10,1:57:21,2:02:57,1:56:05,2:00:19
I,1,1:55:43,2:01:23,2:05:01,2:01:10,2:04:59,2:02:57,2:06:58,2:00:19,2:04:08
I,1,1:55:43,2:05:01,2:09:41,2:04:59,2:09:29,2:06:58,2:11:28,2:04:08,2:08:18
I,1,1:58:58,2:09:41,2:12:47,2:09:29,2:12:40,2:11:28,2:14:52,2:08:18,2:11:29
I,1,1:58:58,2:12:47,2:18:01,2:12:40,2:17:50,2:14:52,2:19:54,2:11:29,2:15:48
I,1,2:33:58,2:33:58,2:38:14,2:33:58,2:38:19,2:33:58,2:38:32,2:33:58,2:38:20
I,1,2:33:58,2:38:14,2:42:45,2:38:19,2:42:46,2:38:32,2:42:52,2:38:20,2:42:26
I,1,2:36:28,2:42:45,2:46:05,2:42:46,2:46:02,2:42:52,2:46:19,2:42:26,2:45:41
I,1,2:36:28,2:46:05,2:51:14,2:46:02,2:51:12,2:46:19,2:51:22,2:45:41,2:49:59
I,1,2:39:43,2:51:14,2:56:11,2:51:12,2:56:09,2:51:22,2:56:32,2:49:59,2:54:57
I,1,2:39:43,2:56:11,3:01:16,2:56:09,3:01:15,2:56:32,3:01:31,2:54:57,2:59:41
I,1,2:45:28,3:01:16,3:05:11,3:01:15,3:05:15,3:01:31,3:05:31,2:59:41,3:03:58
I,1,2:45:28,3:05:11,3:10:55,3:05:15,3:10:54,3:05:31,3:11:11,3:03:58,3:08:46
I,1,2:48:43,3:10:55,3:14:00,3:10:54,3:14:00,3:11:11,3:14:16,3:08:46,3:12:07
I,1,2:48:43,3:14:00,3:19:05,3:14:00,3:19:04,3:14:16,3:19:21,3:12:07,3:16:21
I,1,2:51:58,3:19:05,3:21:47,3:19:04,3:21:24,3:19:21,3:22:06,3:16:21,3:19:28
I,1,2:51:58,3:21:47,3:26:20,3:21:24,3:26:21,3:22:06,3:26:36,3:19:28,3:23:47
I,1,3:08:23,3:26:20,3:30:17,3:26:21,3:31:00,3:26:36,3:30:42,3:23:47,3:27:40
I,1,3:08:23,3:30:17,3:34:39,3:31:00,3:34:40,3:30:42,3:35:02,3:27:40,3:31:46
I,1,3:11:38,3:34:39,3:37:19,3:34:40,3:37:16,3:35:02,3:37:37,3:31:46,3:34:37
I,1,3:11:38,3:37:19,3:42:15,3:37:16,3:42:17,3:37:37,3:42:39,3:34:37,3:38:47
I,1,3:57:58,3:57:58,4:03:36,3:57:58,4:04:18,3:57:58,4:03:44,3:57:58,4:03:32
I,1,3:57:58,4:03:36,4:08:39,4:04:18,4:08:40,4:03:44,4:08:46,4:03:32,4:08:20
I,1,4:10:53,4:10:53,4:15:24,4:10:53,4:16:01,4:10:53,4:15:27,4:10:53,4:15:20
I,1,4:10:53,4:15:24,4:19:44,4:16:01,4:19:44,4:15:27,4:19:51,4:15:20,4:19:30
I,1,4:40:43,4:40:43,4:44:02,4:40:43,4:44:02,4:40:43,4:44:04,4:40:43,4:44:27
I,1,4:40:43,4:44:02,4:48:30,4:44:02,4:48:31,4:44:04,4:48:35,4:44:27,4:48:45
I,1,4:43:58,4:48:30,4:52:32,4:48:31,4:53:10,4:48:35,4:52:40,4:48:45,4:52:38
I,1,4:43:58,4:52:32,4:56:56,4:53:10,4:56:57,4:52:40,4:57:07,4:52:38,4:56:54
I,1,4:46:38,4:56:56,5:00:23,4:56:57,5:00:35,4:57:07,5:00:11,4:56:54,4:59:46
I,1,4:55:58,5:00:23,5:04:44,5:00:35,5:04:39,5:00:11,5:04:57,4:59:46,5:04:46
