AGV Type,AGV Number,Task arrive time,FGM Task begin time,FGM Task Finish time,CGM1 Task beign time,CGM1 Task finish time,CGM2 Task beign time,CGM2 Task finish time,CGM3 Task beign time,CGM3 Task finish time
I,1,0:00:00,0:00:00,0:02:12,0:00:00,0:02:17,0:00:00,0:02:44,0:00:00,0:03:02
I,1,0:00:00,0:02:12,0:04:13,0:02:17,0:04:13,0:02:44,0:04:46,0:03:02,0:05:26
I,1,0:00:00,0:04:13,0:06:31,0:04:13,0:06:17,0:04:46,0:06:56,0:05:26,0:07:55
I,1,0:00:00,0:06:31,0:09:05,0:06:17,0:08:35,0:06:56,0:09:14,0:07:55,0:10:34
I,1,0:00:00,0:09:05,0:11:14,0:08:35,0:10:48,0:09:14,0:11:23,0:10:34,0:13:03
I,1,0:00:00,0:11:14,0:12:53,0:10:48,0:12:27,0:11:23,0:13:43,0:13:03,0:15:32
I,1,0:00:00,0:12:53,0:14:33,0:12:27,0:14:06,0:13:43,0:15:53,0:15:32,0:18:09
I,1,0:00:00,0:14:33,0:17:03,0:14:06,0:16:29,0:15:53,0:18:52,0:18:09,0:21:28
I,1,0:00:00,0:17:03,0:22:42,0:16:29,0:21:55,0:18:52,0:22:21,0:21:28,0:25:28
I,1,0:00:00,0:22:42,0:28:01,0:21:55,0:27:15,0:22:21,0:25:43,0:25:28,0:29:08
I,1,0:42:09,0:42:09,0:45:13,0:42:09,0:45:28,0:42:09,0:45:28,0:42:09,0:45:44
I,1,0:42:09,0:45:13,0:48:17,0:45:28,0:49:23,0:45:28,0:51:04,0:45:44,0:49:58
I,1,0:45:24,0:48:17,0:51:19,0:49:23,0:52:25,0:51:04,0:54:30,0:49:58,0:53:47
I,1,0:45:24,0:51:19,0:55:35,0:52:25,0:56:41,0:54:30,0:58:25,0:53:47,0:58:05
I,1,0:53:54,0:55:35,0:58:16,0:56:41,0:59:32,0:58:25,1:01:29,0:58:05,1:00:57
I,1,0:53:54,0:58:16,1:02:56,0:59:32,1:04:03,1:01:29,1:05:53,1:00:57,1:05:06
I,1,1:05:59,1:05:59,1:09:31,1:05:59,1:09:41,1:05:59,1:09:17,1:05:59,1:09:25
I,1,1:05:59,1:09:31,1:13:55,1:09:41,1:13:56,1:09:17,1:14:20,1:09:25,1:13:43
I,1,1:09:14,1:13:55,1:17:21,1:13:56,1:17:28,1:14:20,1:18:05,1:13:43,1:17:15
I,1,1:09:14,1:17:21,1:22:32,1:17:28,1:22:33,1:18:05,1:23:04,1:17:15,1:21:29
I,1,1:12:29,1:22:32,1:26:15,1:22:33,1:26:22,1:23:04,1:27:05,1:21:29,1:25:18
I,1,1:12:29,1:26:15,1:30:50,1:26:22,1:30:53,1:27:05,1:31:29,1:25:18,1:29:28
I,1,1:23:44,1:30:50,1:35:23,1:30:53,1:35:26,1:31:29,1:36:16,1:29:28,1:34:02
I,1,1:23:44,1:35:23,1:40:36,1:35:26,1:40:39,1:36:16,1:41:22,1:34:02,1:38:54
I,1,1:26:59,1:40:36,1:44:39,1:40:39,1:44:43,1:41:22,1:45:38,1:38:54,1:42:58
I,1,1:26:59,1:44:39,1:49:56,1:44:43,1:50:00,1:45:38,1:50:49,1:42:58,1:47:24
I,1,1:35:08,1:49:56,1:53:32,1:50:00,1:53:14,1:50:49,1:54:27,1:47:24,1:51:25
I,1,1:35:08,1:53:32,1:57:18,1:53:14,1:57:23,1:54:27,1:58:16,1:51:25,1:55:31
I,1,1:38:23,1:57:18,2:00:13,1:57:23,2:01:01,1:58:16,2:01:19,1:55:31,1:58:23
I,1,1:38:23,2:00:13,2:04:39,2:01:01,2:04:45,2:01:19,2:05:43,1:58:23,2:02:33
I,1,1:41:38,2:04:39,2:08:11,2:04:45,2:08:46,2:05:43,2:09:07,2:02:33,2:05:44
I,1,1:41:38,2:08:11,2:13:15,2:08:46,2:13:08,2:09:07,2:14:10,2:05:44,2:10:02
I,1,2:09:08,2:13:15,2:16:46,2:13:08,2:16:39,2:14:10,2:17:43,2:10:02,2:13:58
I,1,2:09:08,2:16:46,2:21:22,2:16:39,2:21:16,2:17:43,2:22:21,2:13:58,2:18:24
I,1,2:12:23,2:21:22,2:25:32,2:21:16,2:26:03,2:22:21,2:26:35,2:18:24,2:22:25
I,1,2:12:23,2:25:32,2:29:49,2:26:03,2:29:43,2:26:35,2:30:55,2:22:25,2:26:31
I,1,2:23:38,2:29:49,2:32:29,2:29:43,2:32:33,2:30:55,2:33:45,2:26:31,2:29:38
I,1,2:23:38,2:32:29,2:38:15,2:32:33,2:38:09,2:33:45,2:39:22,2:29:38,2:33:52
I,1,2:26:53,2:38:15,2:42:25,2:38:09,2:42:44,2:39:22,2:43:23,2:33:52,2:37:41
I,1,2:26:53,2:42:25,2:46:49,2:42:44,2:46:32,2:43:23,2:47:51,2:37:41,2:41:51
I,1,2:30:33,2:46:49,2:49:35,2:46:32,2:49:23,2:47:51,2:50:42,2:41:51,2:45:03
I,1,2:30:33,2:49:35,2:55:19,2:49:23,2:55:03,2:50:42,2:56:22,2:45:03,2:49:21
I,1,3:07:24,3:07:24,3:12:39,3:07:24,3:12:32,3:07:24,3:12:34,3:07:24,3:12:57
I,1,3:07:24,3:12:39,3:17:00,3:12:32,3:17:00,3:12:34,3:17:04,3:12:57,3:17:45
I,1,3:17:29,3:17:29,3:20:03,3:17:29,3:20:05,3:17:29,3:20:03,3:17:45,3:21:46
I,1,3:17:29,3:20:03,3:23:49,3:20:05,3:23:51,3:20:03,3:23:59,3:21:46,3:26:12
I,1,3:20:44,3:23:49,3:27:24,3:23:51,3:27:36,3:23:59,3:27:10,3:26:12,3:30:13
I,1,3:23:59,3:27:24,3:34:06,3:27:36,3:33:45,3:27:10,3:33:53,3:30:13,3:37:11
